author_id,identifier,num_of_supports
460571,TBD,10
255574,UETT,9457
579214,NQS,1639
579216,BTS,3234
460570,TAD,24
579215,EGS,2077
436919,BCT,775
436143,UEVT,4099
460572,TCD,0
579218,BGS,3460
579217,LQS,4130
579220,NQS,4886
483200,STD,361
578209,DMS,1534
579212,UZS,1081
578208,JXS,3466
294187,LLS,6
578207,OTS,2386
488160,IOT,10699
485865,KTT,493
